time,comp_dis,comp_auto,comp_conn,batt_cap,batt_volt,batt_cur,batt_temp,mas_dn,mas_up,mas_lt,mas_rt,mas_a,mas_b,mas_x,mas_y,mas_lx,mas_ly,mas_rx,mas_ry,imu_cal,imu_hdg,imu_rot,imu_euler_pitch,imu_euler_yaw,imu_euler_roll,imu_acc_x,imu_acc_y,imu_acc_z,gps_x,gps_y,gps_pitch,gps_yaw,gps_roll,gps_hdg,gps_rot,gps_acc_x,gps_acc_y,gps_acc_z,gps_error,gps_gyro_x,gps_gyro_y,gps_gyro_z,left_vel,left_cur,left_pos,left_volt,left_temp,right_vel,right_cur,right_pos,right_volt,right_temp
00000614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.087158,0.031006,-1.019287,228.653572,inf,inf,inf,-0.000000,0.000000,0.000000,6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.099365,0.024170,-0.996826,228.795082,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.084229,0.023193,-1.007812,229.031052,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.085449,0.022949,-1.003418,229.172699,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.101074,0.022705,-1.001221,229.408905,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,6.000000,35.000000
00000717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.080322,0.031982,-1.004150,229.550705,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.112061,0.040283,-1.000000,229.787155,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,-6.000000,35.000000
00000759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.088379,0.038574,-1.005615,229.929092,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
00000779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.092529,0.030518,-1.000244,230.165779,inf,inf,inf,-0.000000,0.000000,0.000000,0.000000,35.000000,0.000000,0.000000,0.000000,6.000000,35.000000
00000801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,inf,inf,inf,inf,inf,inf,inf,inf,-0.991038,0.473893,8.862583,-97.914102,-9.501556,262.085898,0.000000,0.106201,0.028076,-1.003418,230.260506,inf,inf,inf,-0.000000,0.000000,0.000000,-6.000000,35.000000,0.000000,0.000000,0.000000,0.000000,35.000000
